osm_id,wd_qid,osm_wikidata
18458835,Q131548651,Q18448597
18458832,Q131548654,Q18448597
18458831,Q131548655,Q18448597
18458834,Q131548652,Q18448597
18458833,Q131548653,Q18448597
18458847,Q131548658,Q18448597
18458849,Q131548659,Q18448597
18458841,Q131548656,Q18448597
18458842,Q131548657,Q18448597
18458870,Q131548662,Q18448597
18458869,Q131548663,Q18448597
18458872,Q131548660,Q18448597
18458871,Q131548661,Q18448597
18458894,Q131548666,Q18448597
18458893,Q131548667,Q18448597
18458868,Q131548664,Q18448597
18458867,Q131548665,Q18448597
18458891,Q131548670,Q18448597
18458890,Q131548671,Q18448597
18458892,Q131548668,Q18448597
1688718,Q131543408,Q1377711
1688718,Q136198589,Q1377711
2370088,Q136140595,Q820225
3196282,Q136140601,Q820225
3162713,Q136140604,Q820225
3196986,Q136140600,Q820225
3195577,Q136140593,Q820225
3162680,Q136140603,Q820225
3195784,Q136140605,Q820225
3195093,Q136140607,Q820225
3195789,Q136140592,Q820225
3196596,Q136140602,Q820225
8904402,Q136407145,Q10602256
3199101,Q136140594,Q820225
2369001,Q136140596,Q820225
2343621,Q136140597,Q820225
3195156,Q136140606,Q820225
19395941,Q136135930,Q10710163
19096559,Q136136002,Q3146332
19096560,Q136136003,Q3146332
19096558,Q136136001,Q3146332
19096563,Q136136006,Q3146332
19096564,Q136136007,Q3146332
19096561,Q136136004,Q3146332
19096562,Q136136005,Q3146332
3196084,Q136140590,Q820225
7462442,Q136212399,Q31887060
93252,Q136407160,Q827846
3161613,Q136140591,Q820225
2343343,Q136140598,Q820225
6261466,Q136433353,Q134270745
6287503,Q136433354,Q134270744
19059029,Q136433358,Q134270717
6261462,Q136433352,Q134270752
